Name,Type,ShellID,PerkID,WeaponID,DeviceID,AttachmentID,Requirements,Prerequisite,Levels,Tooltip
Revolver,"Weapon","-","-","Revolver","-","-","(Body=0,Tech=0,Hardware=15)","-","0",""
PDW,"Weapon","-","-","Personal Defense Weapon","-","-","(Body=0,Tech=0,Hardware=10)","-","0",""
BurstPistol,"Weapon","-","-","Burst Pistol","-","-","(Body=0,Tech=5,Hardware=5)","-","0",""
MachinePistol,"Weapon","-","-","Machine Pistol","-","-","(Body=0,Tech=0,Hardware=5)","-","0",""
SawnOff,"Weapon","-","-","Short Shotgun","-","-","(Body=5,Tech=0,Hardware=5)","-","0",""
Shotgun,"Weapon","-","-","Shotgun","-","-","(Body=0,Tech=0,Hardware=10)","-","0",""
SMG,"Weapon","-","-","Submachine Gun","-","-","(Body=0,Tech=0,Hardware=10)","-","0",""
AssaultRifle,"Weapon","-","-","Assault rifle","-","-","(Body=0,Tech=0,Hardware=15)","-","0",""
LMG,"Weapon","-","-","Light Machine Gun","-","-","(Body=10,Tech=0,Hardware=15)","-","0",""
BoltActionRifle,"Weapon","-","-","Bolt Action Rifle","-","-","(Body=5,Tech=0,Hardware=20)","-","0",""
DMR,"Weapon","-","-","Marksman Rifle","-","-","(Body=0,Tech=0,Hardware=15)","-","0",""
BurstRifle,"Weapon","-","-","Burst Rifle","-","-","(Body=0,Tech=5,Hardware=10)","-","0",""
BattleRifle,"Weapon","-","-","Battle Rifle","-","-","(Body=0,Tech=0,Hardware=15)","-","0",""
AutoShotgun,"Weapon","-","-","Auto Shotgun","-","-","(Body=10,Tech=5,Hardware=15)","-","0",""
GrenadeLauncher,"Weapon","-","-","Grenade Launcher","-","-","(Body=10,Tech=10,Hardware=20)","-","0",""
RocketLauncher,"Weapon","-","-","Rocket Launcher","-","-","(Body=20,Tech=5,Hardware=20)","Heavy Weapons","0",""
Minigun,"Weapon","-","-","Heavy Support Weapon","-","-","(Body=15,Tech=5,Hardware=20)","Heavy Weapons","0",""
AMR,"Weapon","-","-","-","-","-","(Body=15,Tech=10,Hardware=25)","Heavy Weapons","0",""
HeavyLaser,"Weapon","-","-","-","-","-","(Body=15,Tech=25,Hardware=20)","Heavy Weapons","0",""
Acrobatics,"Augment","-","Acrobatics","-","-","-","(Body=25,Tech=0,Hardware=0)","-","0","(NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""26446D2447152C2431D14D811B3C67EF"", ""> Additional aerial maneuver charge\r\n> Somersault manuever: Aerial roll while jumping, falling or diving, requires aerial maneuver charge\r\n> <C>50%</> reduced fall damage\r\n> <C>15%</> increased climb speed\r\n> <C>1 m/s</> increased jump speed\r\n<B>></> <C>25</> <B>reduced defense</>""))"
Addict,"Augment","-","Addict","-","-","-","(Body=10,Tech=0,Hardware=0)","-","0","(NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""9DB6701F4AD0A236972EE0B55D628B94"", ""> <C>50%</> increased Stim use speed\r\n> <C>35%</> reduced direct damage to vitals while hemostasis active\r\n> <C>50%</> increased Core + Aux power regeneration while hemostasis active\r\n> <C>15%</> increased ground speed while hemostasis active\r\n<B>></> <C>1 /s</> <B>vitals drain while hemostasis not active</>\r\n<B>></> <C>25%</> <B>reduced vitals restored from all sources</>""))"
AdrenalineRush,"Augment","-","Adrenaline Rush","-","-","-","(Body=15,Tech=10,Hardware=0)","-","0","(NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""E451C72849440B94AB417A84E7DDF424"", ""> <C>25-75</> vitals restored on visible kill, scaling proportionally with Core charge from <C>0-100</>\r\n> <C>0-15%</> increased ground speed + dexterity, scaling proportionally with Core charge from <C>0-100</>\r\n<B>></> <C>25</> <B>reduced vitals</>""))"
AdvancedRecon,"Augment","-","Advanced Recon","-","-","-","(Body=0,Tech=5,Hardware=10)","-","0","(NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""527E03574FB905F6F1DE9980ED5047E4"", ""> <C>25%</> increased radar + detection range from all sources\r\n> Stationary enemies within range are visible on radar\r\n> Detected enemies are visible on radar\r\n<B>> Can be disabled</>""))"
Akimbo,"Augment","-","Akimbo","-","-","-","(Body=15,Tech=0,Hardware=20)","-","0","(NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""1A64533145A598717FD6819AADABD8D2"", ""> Dual wield sidearms: Fire simultaneously while aiming, sequentially while not aiming\r\n> Alternate aim stance: Fire a single sidearm with increased accuracy\r\n> <C>15%</> increased Core generation with sidearms\r\n> <C>100%</> additional sidearm base reserve ammo\r\n<B>></> <C>15%</> <B>reduced sidearm damage</>\r\n<B>></> <C>25%</> <B>increased sidearm recoil</>\r\n<B>></> <C>50%</> <B>reduced primary reserve ammo</>""))"
Armadillo,"Augment","-","Armadillo","-","-","-","(Body=20,Tech=15,Hardware=0)","-","0","(NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""031467254F3AC292F010E2A71189DFB1"", ""> Retractable Nano-plating, activates on roll maneuvers, <C>3 s</> cooldown\r\n> Deflect direct damage + fire immunity while active\r\n> <C>50%</> increased body impact damage while active\r\n> Automatically roll on knockdown\r\n<B>></> <C>0.5 m/s</> <B>reduced ground speed</>\r\n<B>> Can be disabled</>""))"
AugmentedArms,"Augment","-","Augmented Arms","-","-","-","(Body=10,Tech=5,Hardware=0)","-","0","(NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""433331A74F35FD08417394B2D1B51FEB"", ""> <C>25%</> increased backup weapon damage + throw velocity\r\n> <C>25%</> reduced firearm recoil + spread gain\r\n<B>> Can be disabled</>""))"
AugmentedLegs,"Augment","-","Augmented Legs","-","-","-","(Body=10,Tech=5,Hardware=0)","-","0","(NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""97A222E54F033A144D0A248003835A8A"", ""> <C>25%</> reduced loadout + movement speed penalties\r\n> <C>100%</> reduced fall damage when landing on feet, slide or roll maneuvers\r\n<B>> Can be disabled</>""))"
AugmentedNano-wire,"Augment","-","Augmented Nano-wire","-","-","-","(Body=5,Tech=10,Hardware=10)","-","0","(NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""25B504B84A93A2602841668B532C9720"", ""> Nano-wire can pickup enemy devices, ownership transfered if held for <C>0.5 s</>\r\n> Nano-wire can disarm enemy weapons while Core active\r\n> <C>25%</> increased interaction speed\r\n<B>> Can be disabled</>""))"
Auto-Doc,"Augment","-","Auto-Doc","-","-","-","(Body=5,Tech=10,Hardware=0)","-","0","(NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""E28B6AB14354DE3BDE2139A523E824C4"", ""> Automatically removes bleed, <C>10 s</> cooldown\r\n> <C>25</> vitals restored + hemostasis for <C>2.5 s</> on activation\r\n<B>> Can be disabled</>""))"
AuxiliaryVitals,"Augment","-","Auxiliary Vitals","-","-","-","(Body=15,Tech=0,Hardware=0)","-","0","(NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""0DAF1DAA4EFF406266CBF7A7AB0F0735"", ""> <C>50</> increased vitals\r\n> <C>50%</> reduced bleed damage received\r\n<B>></> <C>0.25 m/s</> <B>reduced ground speed</>""))"
Bloodsport,"Augment","-","Bloodsport","-","-","-","(Body=20,Tech=0,Hardware=0)","-","0","(NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""7E4F27EE405DD324F1797E82D5B7CE92"", ""> Bleeding enemies within <C>30 m</> are detected\r\n> <C>25%</> of vitals damage dealt with backup weapons restored to vitals\r\n> <C>15%</> increased ground speed + backup weapon damage while bleeding\r\n> <C>50%</> reduced bleed rate\r\n<B>></> <C>50%</> <B>increased bleed damage received</>""))"
Caustic,"Augment","-","Caustic","-","-","-","(Body=10,Tech=0,Hardware=10)","-","0","(NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""D74C8554420E6405BC7FBF90078A13C9"", ""> Backup weapons deal chemical damage\r\n> <C>50%</> of vitals damage received reflected as chemical damage + <C>2 s</> snare to enemies within <C>3 m</>\r\n> <C>100%</> chemical resistance, chemical stat reduction immunity\r\n<B>></> <C>50%</> <B>increased bleed damage received</>""))"
ChemicalWarfare,"Augment","-","Chemical Warfare","-","-","-","(Body=10,Tech=10,Hardware=15)","-","0","(NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""2361301942DFDE29C4F943B272FCF0D6"", ""> Explosives deal chemical damage\r\n> <C>50%</> of attempted vitals restoration by corroded enemies dealt as chemical damage""))"
CombatCore,"Augment","-","Combat Core","-","-","-","(Body=0,Tech=20,Hardware=0)","-","0","(NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""CDB67C4544C1F552A72E21ABE3261FB4"", ""> <C>1%</> of direct damage dealt converted to active Core duration\r\n> <C>25%</> increased Core generation""))"
Counterbalance,"Augment","-","Counterbalance","-","-","-","(Body=10,Tech=10,Hardware=0)","-","0","(NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""B98BFA114ABC84F1357597AEC12B3B07"", ""> Removes vitals, defense + speed reductions from equipped augments""))"
CounterIntelligence,"Augment","-","Counter Intelligence","-","-","-","(Body=15,Tech=15,Hardware=0)","-","0","(NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""424B3BDC48E59A4CAC634793EC856891"", ""> Enemies that are detecting you are detected\r\n> Enemies interacting with objectives are detected\r\n> Visible disguised enemies within <C>8 m</> are revealed and detected\r\n<B>> Can be disabled</>""))"
Covert,"Augment","-","Covert","-","-","-","(Body=20,Tech=20,Hardware=0)","-","0","(NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""118E512745B111040DF46ABE09D12978"", ""> Detection immunity while not detecting enemies\r\n<B>></> <C>25</> <B>reduced vitals</>\r\n<B>> Can be disabled</>""))"
DamageReport,"Augment","-","Damage Report","-","-","-","(Body=0,Tech=15,Hardware=10)","-","0","(NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""EDA8D3D44AC67872A5666ABD8226E781"", ""> Detect enemies within <C>45 m</> for <C>1.5 s</> on dealing direct damage\r\n<B>></> <C>50%</> <B>reduced radar detection range</>\r\n<B>> Can be disabled</>""))"
Disengage,"Augment","-","Disengage","-","-","-","(Body=20,Tech=20,Hardware=0)","-","0","(NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""FC56933E48A413BE2AEC11B5EDD898D8"", ""> Automatically relocate to a previous location on receiving fatal damage, <C>60 s</> cooldown\r\n> <C>25%</> vitals + defense restored on activation\r\n> Buffs + debuffs cleared on activation\r\n<B>></> <C>75%</> <B>reduced max vitals + defense on activation</>\r\n<B>></> <C>50%</> <B>reduced Core charge on activation</>\r\n<B>> Fatal explosive or telefrag damage prevent activation</>\r\n<B>> Can be disabled</>\r\n""))"
Dispersal,"Augment","-","Dispersal","-","-","-","(Body=10,Tech=10,Hardware=25)","-","0","(NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""70D0666D4FB052AD8EE19B9492C4B845"", ""> Launch <C>4</> Seeker mines on roll maneuvers if unobscured enemies within <C>30 m</>, <C>10 s</> cooldown\r\n> Seeker mine: Rolls toward and tracks targets, deals <C>25-15</> explosive damage within <C>4 m</> on reaching or losing target\r\n<B>></> <C>15 s</> <B>Increased device cooldowns</>\r\n<B>></> <C>0.5 m/s</> <B>reduced ground speed</>\r\n<B>> Can be disabled</>""))"
EnhancedDexterity,"Augment","-","Enhanced Dexterity","-","-","-","(Body=15,Tech=0,Hardware=0)","-","0","(NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""0D4602994A439AA4BBAB158C75EEC7AE"", ""> <C>25%</> increased dexterity\r\n> Complete active reloads on roll maneuvers at any stage of the reload\r\n<B>> Can be disabled</>""))"
Experimental,"Augment","-","Experimental","-","-","-","(Body=0,Tech=20,Hardware=15)","-","0","(NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""34A62C394D5A5E06C41A42AB6728E043"", ""> Can equip experimental devices\r\n> <C>50%</> increased applied debuff durations\r\n<B>></> <C>25</> <B>reduced defense</>""))"
ExploitWeakness,"Augment","-","Exploit Weakness","-","-","-","(Body=15,Tech=0,Hardware=0)","-","0","(NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""D0FFE48E482CF021D5E1FE8F2B13CB54"", ""> Enemies with defense below <C>35%</> are considered weakened\r\n> <C>100%</> defense bypass with backup weapons to weakened enemies\r\n> <C>100%</> reduced loadout + movement speed penalties if unobscured weakened enemies within <C>15 m</>\r\n> Increased knockdown force to weakened enemies\r\n> <C>25%</> increased direct damage to knocked down weakened enemies""))"
Fail-safe,"Augment","-","Fail-safe","-","-","-","(Body=10,Tech=15,Hardware=0)","-","0","(NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""676A773940AB11C6B7BCADBC18149F5B"", ""> When vitals drop below <C>25%</> or stunned: <C>20</> vitals restored every <C>0.5 s</> + stun immunity for <C>2.5 s</>, <C>30 s</> cooldown""))"
Gecko,"Augment","-","Gecko","-","-","-","(Body=15,Tech=15,Hardware=0)","-","0","(NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""C41D29FF47A9144E7A315AAD5235EE7D"", ""> Gain Shroud while climbing, <C>0.5 s</> activation time\r\n> <C>100%</> reduced aux power drain from climbing\r\n> <C>25%</> increased climb speed\r\n<B>> Can be disabled</>""))"
